"Critical_Minerals","Primary_Import_Source"
"Aluminum","Jamaica"
"Antimony","China"
"Arsenic","China"
"Barite","China"
"Beryllium","Kazakhstan"
"Bismuth","China"
"Chromium","South Africa"
"Cobalt","Norway"
"Fluorspar","Mexico"
"Gallium","China"
"Germanium","China"
"Graphite","China"
"Indium","Republic of Korea"
"Lithium","Argentina"
"Magnesium","Israel"
"Manganese","Gabon"
"Nickel","Canada"
"Niobium","Brazil"
"Palladium","Russia"
"Platinum","South Africa"
"Rare Earths","China"
"Scandium","Europe"
"Tantalum","China"
"Tellurium","Canada"
"Tin","Peru"
"Titanium","Japan"
"Tungsten","China"
"Vanadium","Canada"
"Yttrium","China"
"Zinc","Canada"
"Zirconium","South Africa"
