"Critical_Minerals","Leading_Producing_Country"
"Aluminum","Australia"
"Antimony","China"
"Arsenic","Peru"
"Barite","India"
"Beryllium","United States"
"Bismuth","China"
"Chromium","South Africa"
"Cobalt","Congo"
"Fluorspar","China"
"Gallium","China"
"Germanium","China"
"Graphite","China"
"Indium","China"
"Lithium","Australia"
"Magnesium","China"
"Manganese","South Africa"
"Nickel","Indonesia"
"Niobium","Brazil"
"Palladium","Russia"
"Platinum","South Africa"
"Rare Earths","China"
"Scandium","China"
"Tantalum","Congo"
"Tellurium","China"
"Tin","China"
"Titanium","China"
"Tungsten","China"
"Vanadium","China"
"Yttrium","China"
"Zinc",NA
"Zirconium","Australia"
